title_link,titles,posted_date,hacking_type,hacking_sub_type
https://thehackernews.com/2024/02/cybersecurity-tactics-finserv.html,  Cybersecurity Tactics FinServ Institutions Can Bank On in 2024 ,14-02-2024, Financial Security ,Cyber Threats
https://thehackernews.com/2024/02/bumblebee-malware-returns-with-new.html,"  Bumblebee Malware Returns with New Tricks, Targeting U.S. Businesses ",14-02-2024, Malware ,Cybercrime
https://thehackernews.com/2024/02/darkme-malware-targets-traders-using.html,  DarkMe Malware Targets Traders Using Microsoft SmartScreen Zero-Day Vulnerability ,14-02-2024, Zero-Day ,Financial Sector Security
https://thehackernews.com/2024/02/microsoft-rolls-out-patches-for-73.html,"  Microsoft Rolls Out Patches for 73 Flaws, Including 2 Windows Zero-Days ",14-02-2024, Patch Tuesday ,Vulnerability
https://thehackernews.com/2024/02/glupteba-botnet-evades-detection-with.html,  Glupteba Botnet Evades Detection with Undocumented UEFI Bootkit ,13-02-2024, Cryptocurrency ,Rootkit
https://thehackernews.com/2024/02/pikabot-resurfaces-with-streamlined.html,  PikaBot Resurfaces with Streamlined Code and Deceptive Tactics ,13-02-2024, Cyber Threat ,Malware
https://thehackernews.com/2024/02/midnight-blizzard-and-cloudflare.html,  Midnight Blizzard and Cloudflare-Atlassian Cybersecurity Incidents: What to Know ,13-02-2024, SaaS Security ,Data Breach
https://thehackernews.com/2024/02/ivanti-vulnerability-exploited-to.html,  Ivanti Vulnerability Exploited to Install 'DSLog' Backdoor on 670+ IT Infrastructures ,13-02-2024, Vulnerability ,Cyber Threat
https://thehackernews.com/2024/02/alert-cisa-warns-of-active-roundcube.html,  Alert: CISA Warns of Active 'Roundcube' Email Attacks - Patch Now ,13-02-2024, Vulnerability ,Email Security
https://thehackernews.com/2024/02/rhysida-ransomware-cracked-free.html,"  Rhysida Ransomware Cracked, Free Decryption Tool Released ",12-02-2024, Vulnerability ,Data Recovery
https://thehackernews.com/2024/02/4-ways-hackers-use-social-engineering.html,  4 Ways Hackers use Social Engineering to Bypass MFA ,12-02-2024, Cyber Threat ,Password Security
https://thehackernews.com/2024/02/cisa-and-openssf-release-framework-for.html,  CISA and OpenSSF Release Framework for Package Repository Security ,12-02-2024, Infrastructure Security ,Software Supply Chain
https://thehackernews.com/2024/02/why-are-compromised-identities.html,  Why Are Compromised Identities the Nightmare to IR Speed and Efficiency? ,12-02-2024, Threat Intelligence ,Cyber Resilience
https://thehackernews.com/2024/02/microsoft-introduces-linux-like-sudo.html,  Microsoft Introduces Linux-Like 'sudo' Command to Windows 11 ,12-02-2024, Operating System ,Technology
https://thehackernews.com/2024/02/us-offers-10-million-bounty-for-info.html,  U.S. Offers $10 Million Bounty for Info Leading to Arrest of Hive Ransomware Leaders ,12-02-2024, Dark Web ,Cryptocurrency
https://thehackernews.com/2024/02/us-doj-dismantles-warzone-rat.html,"  U.S. DoJ Dismantles Warzone RAT Infrastructure, Arrests Key Operators ",11-02-2024, Malware ,Cybercrime
https://thehackernews.com/2024/02/alert-new-stealthy-rustdoor-backdoor.html,"  Alert: New Stealthy ""RustDoor"" Backdoor Targeting Apple macOS Devices ",10-02-2024, macOS Malware ,Cyber Threat
https://thehackernews.com/2024/02/raspberry-robin-malware-upgrades-with.html,  Raspberry Robin Malware Upgrades with Discord Spread and New Exploits ,09-02-2024, Malware ,Dark Web
https://thehackernews.com/2024/02/new-variant-of-moqhao-android-malware.html,  MoqHao Android Malware Evolves with Auto-Execution Capability ,09-02-2024, Mobile Security ,Cyber Threat
https://thehackernews.com/2024/02/new-coyote-trojan-targets-61-brazilian.html,  New Coyote Trojan Targets 61 Brazilian Banks with Nim-Powered Attack ,09-02-2024, Endpoint Security ,Cryptocurrency
https://thehackernews.com/2024/02/fortinet-warns-of-critical-fortios-ssl.html,  Fortinet Warns of Critical FortiOS SSL VPN Flaw Likely Under Active Exploitation ,09-02-2024, Zero Day Vulnerability ,Network Security
https://thehackernews.com/2024/02/wazuh-in-cloud-era-navigating.html,  Wazuh in the Cloud Era: Navigating the Challenges of Cybersecurity ,09-02-2024, Cloud Security ,Open Source XDR /SIEM
https://thehackernews.com/2024/02/warning-new-ivanti-auth-bypass-flaw.html,  Warning: New Ivanti Auth Bypass Flaw Affects Connect Secure and ZTA Gateways ,09-02-2024, Vulnerability ,Zero Day
https://thehackernews.com/2024/02/stealthy-zardoor-backdoor-targets-saudi.html,  Stealthy Zardoor Backdoor Targets Saudi Islamic Charity Organization ,09-02-2024, Cyber Espionage ,Threat Intelligence
https://thehackernews.com/2024/02/chinese-hackers-operate-undetected-in.html,  Chinese Hackers Operate Undetected in U.S. Critical Infrastructure for Half a Decade ,08-02-2024, Critical Infrastructure ,Network security
https://thehackernews.com/2024/02/unified-identity-look-for-meaning.html,  Unified Identity – look for the meaning behind the hype!  ,08-02-2024, Unified Identity ,Cyber Security
https://thehackernews.com/2024/02/hijackloader-evolves-researchers-decode.html,  HijackLoader Evolves: Researchers Decode the Latest Evasion Methods ,08-02-2024, Endpoint Security ,Cyber Threat
https://thehackernews.com/2024/02/google-starts-blocking-sideloading-of.html,  Google Starts Blocking Sideloading of Potentially Dangerous Android Apps in Singapore ,08-02-2024, Data Protection ,Mobile Securit
https://thehackernews.com/2024/02/kimsukys-new-golang-stealer-troll-and.html,  Kimsuky's New Golang Stealer 'Troll' and 'GoBear' Backdoor Target South Korea ,08-02-2024, Cyber Espionage ,Malware
https://thehackernews.com/2024/02/critical-patches-released-for-new-flaws.html,"  Critical Patches Released for New Flaws in Cisco, Fortinet, VMware Products ",08-02-2024, Cyber Threat ,Network Security
https://thehackernews.com/2024/02/after-fbi-takedown-kv-botnet-operators.html,"  After FBI Takedown, KV-Botnet Operators Shift Tactics in Attempt to Bounce Back ",07-02-2024, Malware ,Network Security
https://thehackernews.com/2024/02/critical-bootloader-vulnerability-in.html,  Critical Boot Loader Vulnerability in Shim Impacts Nearly All Linux Distros ,07-02-2024, Device Security ,Vulnerability
https://thehackernews.com/2024/02/new-webinar-5-steps-to-vciso-success.html,  New Webinar: 5 Steps to vCISO Success for MSPs and MSSPs ,07-02-2024, Risk Management ,Cybersecurity
https://thehackernews.com/2024/02/global-coalition-and-tech-giants-unite.html,  Global Coalition and Tech Giants Unite Against Commercial Spyware Abuse ,07-02-2024, Spyware ,Zero-Day Vulnerability
https://thehackernews.com/2024/02/chinese-hackers-exploited-fortigate.html,  Chinese Hackers Exploited FortiGate Flaw to Breach Dutch Military Network ,07-02-2024, Cyber Espionage ,Network Security
https://thehackernews.com/2024/02/critical-jetbrains-teamcity-on-premises.html,  Critical JetBrains TeamCity On-Premises Flaw Exposes Servers to Takeover - Patch Now ,07-02-2024, Cybersecurity ,Software Security
https://thehackernews.com/2024/02/beware-fake-facebook-job-ads-spreading.html,  Beware: Fake Facebook Job Ads Spreading 'Ov3r_Stealer' to Steal Crypto and Credentials ,06-02-2024, Social Engineering ,Malvertising
https://thehackernews.com/2024/02/high-severity-flaws-found-in-azure.html,"  Experts Detail New Flaws in Azure HDInsight Spark, Kafka, and Hadoop Services ",06-02-2024, Vulnerability ,Cloud Security
https://thehackernews.com/2024/02/how-10b-enterprise-customer-drastically.html,  How a $10B Enterprise Customer Drastically Increased their SaaS Security Posture with 201% ROI by Using SSPM ,06-02-2024, SaaS Security ,Cyber Security
https://thehackernews.com/2024/02/hackers-exploit-job-boards-in-apac.html,"  Hackers Exploit Job Boards, Stealing Millions of Resumes and Personal Data ",06-02-2024, Dark Web ,Cybercrime
https://thehackernews.com/2024/02/recently-disclosed-ssrf-flaw-in-ivanti.html,  Recent SSRF Flaw in Ivanti VPN Products Undergoes Mass Exploitation ,06-02-2024, Cybersecurity ,Vulnerability
https://thehackernews.com/2024/02/us-imposes-visa-restrictions-on-those.html,  U.S. Imposes Visa Restrictions on those Involved in Illegal Spyware Surveillance ,06-02-2024, Surveillance ,Privacy
https://thehackernews.com/2024/02/belarusian-national-linked-to-btc-e.html,  Belarusian National Linked to BTC-e Faces 25 Years for $4 Billion Crypto Money Laundering ,05-02-2024, Cryptocurrency ,Financial Fraud
https://thehackernews.com/2024/02/combined-security-practices-changing.html,  Combined Security Practices Changing the Game for Risk Management ,05-02-2024, Data Protection ,Threat Intelligence
https://thehackernews.com/2024/02/patchwork-using-romance-scam-lures-to.html,  Patchwork Using Romance Scam Lures to Infect Android Devices with VajraSpy Malware ,05-02-2024, Cyber Espionage ,Cyber Extortion
https://thehackernews.com/2024/02/pegasus-spyware-targeted-iphones-of.html,  Pegasus Spyware Targeted iPhones of Journalists and Activists in Jordan ,05-02-2024, Spyware ,Surveillance
https://thehackernews.com/2024/02/new-mispadu-banking-trojan-exploiting.html,  New Mispadu Banking Trojan Exploiting Windows SmartScreen Flaw ,05-02-2024, Malware ,Financial Security
https://thehackernews.com/2024/02/us-sanctions-6-iranian-officials-for.html,  U.S. Sanctions 6 Iranian Officials for Critical Infrastructure Cyber Attacks ,03-02-2024, Intelligence Agency ,Cyber Security
https://thehackernews.com/2024/02/mastodon-vulnerability-allows-hackers.html,  Mastodon Vulnerability Allows Hackers to Hijack Any Decentralized Account ,03-02-2024, Vulnerability ,Social Media
https://thehackernews.com/2024/02/anydesk-hacked-popular-remote-desktop.html,  AnyDesk Hacked: Popular Remote Desktop Software Mandates Password Reset ,03-02-2024, Cyber Attack ,Software Security
https://thehackernews.com/2024/02/russian-apt28-hackers-targeting-high.html,  Russian APT28 Hackers Targeting High-Value Orgs with NTLM Relay Attacks ,02-02-2024, Cyber Espionage ,Password Security
https://thehackernews.com/2024/02/dirtymoe-malware-infects-2000-ukrainian.html,"  DirtyMoe Malware Infects 2,000+ Ukrainian Computers for DDoS and Cryptojacking ",02-02-2024, Cryptojacking ,Malware
https://thehackernews.com/2024/02/former-cia-engineer-sentenced-to-40.html,  Former CIA Engineer Sentenced to 40 Years for Leaking Classified Documents ,02-02-2024, National Security ,Data Breach
https://thehackernews.com/2024/02/cloudzy-elevates-cybersecurity.html,  Cloudzy Elevates Cybersecurity: Integrating Insights from Recorded Future to Revolutionize Cloud Security ,02-02-2024, Threat Intelligence ,Cloud Security
https://thehackernews.com/2024/02/interpol-arrests-31-in-global-operation.html,"  INTERPOL Arrests 31 in Global Operation, Identifies 1,900+ Ransomware-Linked IPs ",02-02-2024, Cyber Crime ,Malware
https://thehackernews.com/2024/02/cloudflare-breach-nation-state-hackers.html,  Cloudflare Breach: Nation-State Hackers Access Source Code and Internal Docs ,02-02-2024, Data Breach ,Cloud Security
https://thehackernews.com/2024/02/fritzfrog-returns-with-log4shell-and.html,"  FritzFrog Returns with Log4Shell and PwnKit, Spreading Malware Inside Your Network ",01-02-2024, Cyber Attack ,Botnet
https://thehackernews.com/2024/02/exposed-docker-apis-under-attack-in.html,  Exposed Docker APIs Under Attack in 'Commando Cat' Cryptojacking Campaign ,01-02-2024, Cryptojacking ,Linux Security
https://thehackernews.com/2024/02/why-right-metrics-matter-when-it-comes.html,  Why the Right Metrics Matter When it Comes to Vulnerability Management ,01-02-2024, Vulnerability Management ,Cyber Hygiene
https://thehackernews.com/2024/02/us-feds-shut-down-china-linked-kv.html,"  U.S. Feds Shut Down China-Linked ""KV-Botnet"" Targeting SOHO Routers ",01-02-2024, Cyber Threat ,Network Security
https://thehackernews.com/2024/02/headcrab-20-goes-fileless-targeting.html,"  HeadCrab 2.0 Goes Fileless, Targeting Redis Servers for Crypto Mining ",01-02-2024, Cryptocurrency ,Botnet
https://thehackernews.com/2024/02/warning-new-malware-emerges-in-attacks.html,  Warning: New Malware Emerges in Attacks Exploiting Ivanti VPN Vulnerabilities ,01-02-2024, Network Security ,Malware
https://thehackernews.com/2024/02/cisa-warns-of-active-exploitation-of.html,  CISA Warns of Active Exploitation Apple iOS and macOS Vulnerability ,01-02-2024, Vulnerability ,Software Update
https://thehackernews.com/2024/02/runc-flaws-enable-container-escapes.html,"  RunC Flaws Enable Container Escapes, Granting Attackers Host Access ",31-01-2024, Software Security ,Linux
https://thehackernews.com/2024/01/alert-ivanti-discloses-2-new-zero-day.html,"  Alert: Ivanti Discloses 2 New Zero-Day Flaws, One Under Active Exploitation ",31-01-2024, Vulnerability ,Zero Day
https://thehackernews.com/2024/01/telegram-marketplaces-fuel-phishing.html,  Telegram Marketplaces Fuel Phishing Attacks with Easy-to-Use Kits and Malware ,31-01-2024, Cyber Crime ,Hacking News
https://thehackernews.com/2024/01/the-sec-wont-let-cisos-be-understanding.html,  The SEC Won't Let CISOs Be: Understanding New SaaS Cybersecurity Rules ,31-01-2024, SaaS Security ,Regulations
https://thehackernews.com/2024/01/italian-businesses-hit-by-weaponized.html,  Italian Businesses Hit by Weaponized USBs Spreading Cryptojacking Malware ,31-01-2024, Cryptocurrency ,Cybersecurity
https://thehackernews.com/2024/01/chinese-hackers-exploiting-critical-vpn.html,  Hackers Exploiting Ivanti VPN Flaws to Deploy KrustyLoader Malware ,31-01-2024, Cyber Attack ,Network Security
https://thehackernews.com/2024/01/new-glibc-flaw-grants-attackers-root.html,  New Glibc Flaw Grants Attackers Root Access on Major Linux Distros ,31-01-2024, Vulnerability ,Endpoint Security
https://thehackernews.com/2024/01/brazilian-feds-dismantle-grandoreiro.html,"  Brazilian Feds Dismantle Grandoreiro Banking Trojan, Arresting Top Operatives ",30-01-2024, Cyber Crime ,Malware
https://thehackernews.com/2024/01/urgent-upgrade-gitlab-critical.html,  URGENT: Upgrade GitLab - Critical Workspace Creation Flaw Allows File Overwrite ,30-01-2024, DevSecOps ,Vulnerability
https://thehackernews.com/2024/01/china-linked-hackers-target-myanmars.html,  China-Linked Hackers Target Myanmar's Top Ministries with Backdoor Blitz ,30-01-2024, Malware ,Cyber Espionage
https://thehackernews.com/2024/01/top-security-posture-vulnerabilities.html,  Top Security Posture Vulnerabilities Revealed ,30-01-2024, Security Assessment ,Patch Management
https://thehackernews.com/2024/01/italian-data-protection-watchdog.html,  Italian Data Protection Watchdog Accuses ChatGPT of Privacy Violations ,30-01-2024, Generative AI ,Data Privacy
https://thehackernews.com/2024/01/new-zloader-malware-variant-surfaces.html,   New ZLoader Malware Variant Surfaces with 64-bit Windows Compatibility ,30-01-2024, Malware ,Cyber Threat
https://thehackernews.com/2024/01/juniper-networks-releases-urgent-junos.html,  Juniper Networks Releases Urgent Junos OS Updates for High-Severity Flaws ,30-01-2024, Vulnerability ,Network Security
https://thehackernews.com/2024/01/493-companies-share-their-saas-security.html,  493 Companies Share Their SaaS Security Battles – Get Insights in this Webinar ,29-01-2024, SaaS Security ,Webinar
https://thehackernews.com/2024/01/albabat-kasseika-kuiper-new-ransomware.html,"   Albabat, Kasseika, Kuiper: New Ransomware Gangs Rise with Rust and Golang ",29-01-2024, Ransomware ,Malware
https://thehackernews.com/2024/01/nsa-admits-secretly-buying-your.html,  NSA Admits Secretly Buying Your Internet Browsing Data without Warrants ,29-01-2024, Surveillance ,Data Privacy
https://thehackernews.com/2024/01/allakore-rat-malware-targeting-mexican.html,  AllaKore RAT Malware Targeting Mexican Firms with Financial Fraud Tricks ,27-01-2024, Malware ,Software Update
https://thehackernews.com/2024/01/malicious-ads-on-google-target-chinese.html,  Malicious Ads on Google Target Chinese Users with Fake Messaging Apps ,26-01-2024, Malvertising ,Phishing-as-a-service
https://thehackernews.com/2024/01/microsoft-warns-of-widening-apt29.html,  Microsoft Warns of Widening APT29 Espionage Attacks Targeting Global Orgs ,26-01-2024, Threat Intelligence ,Cyber Attack
https://thehackernews.com/2024/01/russian-trickbot-mastermind-gets-5-year.html,  Russian TrickBot Mastermind Gets 5-Year Prison Sentence for Cybercrime Spree ,26-01-2024, Cyber Crime ,Malware
https://thehackernews.com/2024/01/critical-cisco-flaw-lets-hackers.html,  Critical Cisco Flaw Lets Hackers Remotely Take Over Unified Comms Systems ,26-01-2024, Network Security ,Vulnerability
https://thehackernews.com/2024/01/critical-jenkins-vulnerability-exposes.html,  Critical Jenkins Vulnerability Exposes Servers to RCE Attacks - Patch ASAP! ,25-01-2024, Vulnerability ,Software Security
https://thehackernews.com/2024/01/lodeinfo-fileless-malware-evolves-with.html,  LODEINFO Fileless Malware Evolves with Anti-Analysis and Remote Code Tricks ,25-01-2024, Fileless Malware ,Endpoint Security
https://thehackernews.com/2024/01/cyber-threat-landscape-7-key-findings.html,  Cyber Threat Landscape: 7 Key Findings and Upcoming Trends for 2024 ,25-01-2024, Threat Intelligence ,Cybercrime
https://thehackernews.com/2024/01/china-backed-hackers-hijack-software.html,"  China-backed Hackers Hijack Software Updates to Implant ""NSPX30"" Spyware ",25-01-2024, Malware ,Cyber Threat
https://thehackernews.com/2024/01/new-cherryloader-malware-mimics.html,  New CherryLoader Malware Mimics CherryTree to Deploy PrivEsc Exploits ,25-01-2024, Threat Intelligence ,Malware Research
https://thehackernews.com/2024/01/tech-giant-hp-enterprise-hacked-by.html,  Tech Giant HP Enterprise Hacked by Russian Hackers Linked to DNC Breach ,25-01-2024, Cyber Attack ,Data Breach
https://thehackernews.com/2024/01/google-kubernetes-misconfig-lets-any.html,  Google Kubernetes Misconfig Lets Any Gmail Account Control Your Clusters ,24-01-2024, Cloud Security ,Kubernetes
https://thehackernews.com/2024/01/what-is-nudge-security-and-how-does-it.html,  What is Nudge Security and How Does it Work? ,24-01-2024, SaaS Security ,Endpoint Security
https://thehackernews.com/2024/01/kasseika-ransomware-using-byovd-trick.html,  Kasseika Ransomware Using BYOVD Trick to Disarm Security Pre-Encryption ,24-01-2024, Ransomware ,Endpoint Security
https://thehackernews.com/2024/01/the-unknown-risks-of-software-supply.html,  The Unknown Risks of The Software Supply Chain: A Deep-Dive ,24-01-2024, Vulnerability ,Myrror Security
https://thehackernews.com/2024/01/us-uk-australia-sanction-russian-revil.html,"  U.S., U.K., Australia Sanction Russian REvil Hacker Behind Medibank Breach ",24-01-2024, Cryptocurrency ,Cybercrime
https://thehackernews.com/2024/01/patch-your-goanywhere-mft-immediately.html,  Patch Your GoAnywhere MFT Immediately - Critical Flaw Lets Anyone Be Admin ,24-01-2024, Vulnerability ,Endpoint Security
https://thehackernews.com/2024/01/vextrio-uber-of-cybercrime-brokering.html,  VexTrio: The Uber of Cybercrime - Brokering Malware for 60+ Affiliates ,23-01-2024, Malware ,Cyber Threat
https://thehackernews.com/2024/01/malicious-npm-packages-exfiltrate-1600.html,  Malicious NPM Packages Exfiltrate Hundreds of Developer SSH Keys via GitHub ,23-01-2024, Software Security ,Supply Chain
https://thehackernews.com/2024/01/activator-alert-macos-malware-hides-in.html,"  ""Activator"" Alert: MacOS Malware Hides in Cracked Apps, Targeting Crypto Wallets ",23-01-2024, Malware ,Cryptocurrency
https://thehackernews.com/2024/01/breachforums-founder-sentenced-to-20.html,"  BreachForums Founder Sentenced to 20 Years of Supervised Release, No Jail Time ",23-01-2024, Cyber Crime ,Dark Web
https://thehackernews.com/2024/01/40000-attacks-in-3-days-critical.html,"  ~40,000 Attacks in 3 Days: Critical Confluence RCE Under Active Exploitation ",23-01-2024, Vulnerability ,Cyber Attack
https://thehackernews.com/2024/01/apple-issues-patch-for-critical-zero.html,"  Apple Issues Patch for Critical Zero-Day in iPhones, Macs - Update Now ",23-01-2024, Vulnerability ,Device Security
https://thehackernews.com/2024/01/north-korean-hackers-weaponize-fake.html,  North Korean Hackers Weaponize Research Lures to Deliver RokRAT Backdoor ,22-01-2024, Cyber Attack ,Hacking
https://thehackernews.com/2024/01/hackers-hijack-popular-java-and-android.html,  MavenGate Attack Could Let Hackers Hijack Java and Android via Abandoned Libraries ,22-01-2024, Software Security ,Supply Chain
https://thehackernews.com/2024/01/ns-stealer-uses-discord-bots-to.html,  NS-STEALER Uses Discord Bots to Exfiltrate Your Secrets from Popular Browsers ,22-01-2024, Browser Security ,Cyber Threat
https://thehackernews.com/2024/01/ftc-bans-inmarket-for-selling-precise.html,  FTC Bans InMarket for Selling Precise User Location Without Consent ,22-01-2024, Privacy ,Technology
https://thehackernews.com/2024/01/apache-activemq-flaw-exploited-in-new.html,  Apache ActiveMQ Flaw Exploited in New Godzilla Web Shell Attacks ,22-01-2024, Vulnerability ,Malware
https://thehackernews.com/2024/01/chinese-hackers-silently-weaponized.html,  Chinese Hackers Silently Weaponized VMware Zero-Day Flaw for 2 Years ,20-01-2024, Zero Day ,Cyber Espionage
https://thehackernews.com/2024/01/cisa-issues-emergency-directive-to.html,  CISA Issues Emergency Directive to Federal Agencies on Ivanti Zero-Day Exploits ,20-01-2024, Network Security ,Threat Intelligence
https://thehackernews.com/2024/01/microsofts-top-execs-emails-breached-in.html,  Microsoft's Top Execs' Emails Breached in Sophisticated Russia-Linked APT Attack ,20-01-2024, Cyber Espionage ,Emails Security
https://thehackernews.com/2024/01/invoice-phishing-alert-ta866-deploys.html,  Invoice Phishing Alert: TA866 Deploys WasabiSeed & Screenshotter Malware ,20-01-2024, Malware ,Cyber Espionage
https://thehackernews.com/2024/01/experts-warn-of-macos-backdoor-hidden.html,  Experts Warn of macOS Backdoor Hidden in Pirated Versions of Popular Software ,19-01-2024, Malware ,Endpoint Security
https://thehackernews.com/2024/01/preventing-data-loss-backup-and.html,  Preventing Data Loss: Backup and Recovery Strategies for Exchange Server Administrators ,19-01-2024, Regulatory Compliance ,Data Security
https://thehackernews.com/2024/01/npm-trojan-bypasses-uac-installs.html,"  Npm Trojan Bypasses UAC, Installs AnyDesk with ""Oscompatible"" Package ",19-01-2024, Software Security ,Spyware
https://thehackernews.com/2024/01/us-cybersecurity-agency-warns-of.html,  U.S. Cybersecurity Agency Warns of Actively Exploited Ivanti EPMM Vulnerability ,19-01-2024, Cyber Theat ,Zero-Day
https://thehackernews.com/2024/01/new-docker-malware-steals-cpu-for.html,  New Docker Malware Steals CPU for Crypto & Drives Fake Website Traffic ,18-01-2024, Server Security ,Cryptocurrency
https://thehackernews.com/2024/01/russian-coldriver-hackers-expand-beyond.html,  Russian COLDRIVER Hackers Expand Beyond Phishing with Custom Malware ,18-01-2024, Cyber Threat ,Malware
https://thehackernews.com/2024/01/tensorflow-cicd-flaw-exposed-supply.html,  TensorFlow CI/CD Flaw Exposed Supply Chain to Poisoning Attacks ,18-01-2024, Supply Chain Attacks ,AI Security
https://thehackernews.com/2024/01/mfa-spamming-and-fatigue-when-security.html,  MFA Spamming and Fatigue: When Security Measures Go Wrong ,18-01-2024, Authentication Security ,Passwords
https://thehackernews.com/2024/01/pixiefail-uefi-flaws-expose-millions-of.html,"  PixieFail UEFI Flaws Expose Millions of Computers to RCE, DoS, and Data Theft ",18-01-2024, Firmware Security ,Vulnerability
https://thehackernews.com/2024/01/iranian-hackers-masquerades-as.html,  Iranian Hackers Masquerade as Journalists to Spy on Israel-Hamas War Experts ,18-01-2024, Cyber Espionage ,Threat Intelligence
https://thehackernews.com/2024/01/pax-pos-terminal-flaw-could-allow.html,  PAX PoS Terminal Flaw Could Allow Attackers to Tamper with Transactions ,17-01-2024, Financial Data ,Vulnerability
https://thehackernews.com/2024/01/combating-ip-leaks-into-ai-applications.html,  This Free Discovery Tool Finds and Mitigates AI-SaaS Risks ,17-01-2024, SaaS Security ,Machine Learning
https://thehackernews.com/2024/01/feds-warn-of-androxgh0st-botnet.html,"  Feds Warn of AndroxGh0st Botnet Targeting AWS, Azure, and Office 365 Credentials ",17-01-2024, Botnet ,Cloud Security
https://thehackernews.com/2024/01/webinar-art-of-privilege-escalation-how.html,  Webinar: The Art of Privilege Escalation - How Hackers Become Admins ,17-01-2024, Cyber Threat ,Live Webinar
https://thehackernews.com/2024/01/new-ishutdown-method-exposes-hidden.html,  New iShutdown Method Exposes Hidden Spyware Like Pegasus on Your iPhone ,17-01-2024, Spyware ,Forensic Analysis
https://thehackernews.com/2024/01/github-rotates-keys-after-high-severity.html,  GitHub Rotates Keys After High-Severity Vulnerability Exposes Credentials ,17-01-2024, Vulnerability ,Software Security
https://thehackernews.com/2024/01/citrix-vmware-and-atlassian-hit-with.html,"  Citrix, VMware, and Atlassian Hit with Critical Flaws — Patch ASAP! ",17-01-2024, Vulnerability ,Cyber Threat
