title_link,titles,posted_date,hacking_type,text_loc
https://thehackernews.com/2024/02/cybersecurity-tactics-finserv.html,  Cybersecurity Tactics FinServ Institutions Can Bank On in 2024 ," Feb 14, 2024", Financial Security / Cyber Threats," The landscape of cybersecurity in financial services is undergoing a rapid transformation. Cybercriminals are exploiting advanced technologies and methodologies, making traditional security measures obsolete. The challenges are compounded for community banks that must safeguard sensitive financial data against the same level of sophisticated threats as larger institutions, but often with more limited resources."
https://thehackernews.com/2024/02/bumblebee-malware-returns-with-new.html,"  Bumblebee Malware Returns with New Tricks, Targeting U.S. Businesses "," Feb 14, 2024", Malware / Cybercrime, The infamous malware loader and initial access broker known as  Bumblebee  has resurfaced after a four-month absence as part of a new phishing campaign observed in February 2024.
https://thehackernews.com/2024/02/darkme-malware-targets-traders-using.html,  DarkMe Malware Targets Traders Using Microsoft SmartScreen Zero-Day Vulnerability ," Feb 14, 2024", Zero-Day / Financial Sector Security, A newly disclosed security flaw in the Microsoft Defender SmartScreen has been exploited as a zero-day by an advanced persistent threat actor called  Water Hydra  (aka DarkCasino) targeting financial market traders.
https://thehackernews.com/2024/02/microsoft-rolls-out-patches-for-73.html,"  Microsoft Rolls Out Patches for 73 Flaws, Including 2 Windows Zero-Days "," Feb 14, 2024", Patch Tuesday / Vulnerability," Microsoft has released patches to address  73 security flaws  spanning its software lineup as part of its Patch Tuesday updates for February 2024, including two zero-days that have come under active exploitation."
https://thehackernews.com/2024/02/glupteba-botnet-evades-detection-with.html,  Glupteba Botnet Evades Detection with Undocumented UEFI Bootkit ," Feb 13, 2024", Cryptocurrency / Rootkit," The  Glupteba  botnet has been found to incorporate a previously undocumented Unified Extensible Firmware Interface ( UEFI ) bootkit feature, adding another layer of sophistication and stealth to the malware."
https://thehackernews.com/2024/02/pikabot-resurfaces-with-streamlined.html,  PikaBot Resurfaces with Streamlined Code and Deceptive Tactics ," Feb 13, 2024", Cyber Threat / Malware," The threat actors behind the PikaBot malware have made significant changes to the malware in what has been described as a case of ""devolution."""
https://thehackernews.com/2024/02/midnight-blizzard-and-cloudflare.html,  Midnight Blizzard and Cloudflare-Atlassian Cybersecurity Incidents: What to Know ," Feb 13, 2024", SaaS Security / Data Breach," The Midnight Blizzard and Cloudflare-Atlassian cybersecurity incidents raised alarms about the vulnerabilities inherent in major SaaS platforms. These incidents illustrate the stakes involved in SaaS breaches — safeguarding the integrity of SaaS apps and their sensitive data is critical but is not easy. Common threat vectors such as sophisticated spear-phishing, misconfigurations and vulnerabilities in third-party app integrations demonstrate the complex security challenges facing IT systems."
https://thehackernews.uk/state-of-ai-cloud-2024,,,,
https://thehackernews.com/2024/02/ivanti-vulnerability-exploited-to.html,  Ivanti Vulnerability Exploited to Install 'DSLog' Backdoor on 670+ IT Infrastructures ," Feb 13, 2024", Vulnerability / Cyber Threat," Threat actors are leveraging a recently disclosed security flaw impacting Ivanti Connect Secure, Policy Secure, and ZTA gateways to deploy a backdoor codenamed  DSLog  on susceptible devices."
https://thehackernews.com/2024/02/hands-on-review-myrror-security-code.html,  Hands-on Review: Myrror Security Code-Aware and Attack-Aware SCA ," Feb 09, 2024", Static Code Analysis, 
https://thehackernews.com/2024/02/alert-cisa-warns-of-active-roundcube.html,  Alert: CISA Warns of Active 'Roundcube' Email Attacks - Patch Now ," Feb 13, 2024", Vulnerability / Email Security," The U.S. Cybersecurity and Infrastructure Security Agency (CISA) on Monday  added  a medium-severity security flaw impacting Roundcube email software to its Known Exploited Vulnerabilities ( KEV ) catalog, based on evidence of active exploitation."
https://thehackernews.com/2024/02/rhysida-ransomware-cracked-free.html,"  Rhysida Ransomware Cracked, Free Decryption Tool Released "," Feb 12, 2024", Vulnerability / Data Recovery," Cybersecurity researchers have uncovered an ""implementation vulnerability"" that has made it possible to reconstruct encryption keys and decrypt data locked by Rhysida ransomware."
https://thehackernews.com/2024/02/4-ways-hackers-use-social-engineering.html,  4 Ways Hackers use Social Engineering to Bypass MFA ," Feb 12, 2024", Cyber Threat / Password Security," When it comes to access security, one recommendation stands out above the rest: multi-factor authentication (MFA). With passwords alone being simple work for hackers, MFA provides an essential layer of protection against breaches. However, it's important to remember that MFA isn't foolproof. It can be bypassed, and it often is. "
https://thehackernews.com/2024/02/cisa-and-openssf-release-framework-for.html,  CISA and OpenSSF Release Framework for Package Repository Security ," Feb 12, 2024", Infrastructure Security / Software Supply Chain, The U.S. Cybersecurity and Infrastructure Security Agency (CISA) announced that it's partnering with the Open Source Security Foundation (OpenSSF) Securing Software Repositories Working Group to publish a new framework to secure package repositories.
https://thehackernews.com/2024/02/why-are-compromised-identities.html,  Why Are Compromised Identities the Nightmare to IR Speed and Efficiency? ," Feb 12, 2024", Threat Intelligence / Cyber Resilience," Incident response (IR) is a race against time. You engage your internal or external team because there's enough evidence that something bad is happening, but you're still blind to the scope, the impact, and the root cause. The common set of IR tools and practices provides IR teams with the ability to discover malicious files and outbound network connections. However, the identity aspect - namely the pinpointing of compromised user accounts that were used to spread in your network - unfortunately remains unattended. This task proves to be the most time-consuming for IR teams and has become a challenging uphill battle that enables attackers to earn precious time in which they can still inflict damage. "
https://thehackernews.com/2024/02/microsoft-introduces-linux-like-sudo.html,  Microsoft Introduces Linux-Like 'sudo' Command to Windows 11 ," Feb 12, 2024", Operating System / Technology, Microsoft said it's introducing Sudo for Windows 11 as part of an early preview version to help users execute commands with administrator privileges.
https://thehackernews.com/2024/02/us-offers-10-million-bounty-for-info.html,  U.S. Offers $10 Million Bounty for Info Leading to Arrest of Hive Ransomware Leaders ," Feb 12, 2024", Dark Web / Cryptocurrency, The U.S. Department of State has  announced  monetary rewards of up to $10 million for information about individuals holding key positions within the Hive ransomware operation.
https://thehackernews.com/2024/02/us-doj-dismantles-warzone-rat.html,"  U.S. DoJ Dismantles Warzone RAT Infrastructure, Arrests Key Operators "," Feb 11, 2024", Malware / Cybercrime, The U.S. Justice Department (DoJ) on Friday announced the seizure of online infrastructure that was used to sell a remote access trojan (RAT) called  Warzone RAT .
https://thehackernews.uk/state-of-ai-cloud-2024,,,,
https://thehackernews.com/2024/02/alert-new-stealthy-rustdoor-backdoor.html,"  Alert: New Stealthy ""RustDoor"" Backdoor Targeting Apple macOS Devices "," Feb 10, 2024", macOS Malware / Cyber Threat, Apple macOS users are the target of a new Rust-based backdoor that has been operating under the radar since November 2023.
https://thehackernews.com/2024/02/hands-on-review-myrror-security-code.html,  Hands-on Review: Myrror Security Code-Aware and Attack-Aware SCA ," Feb 09, 2024", Static Code Analysis, 
https://thehackernews.com/2024/02/raspberry-robin-malware-upgrades-with.html,  Raspberry Robin Malware Upgrades with Discord Spread and New Exploits ," Feb 09, 2024", Malware / Dark Web," The operators of  Raspberry Robin  are now using two new one-day exploits to achieve local privilege escalation, even as the malware continues to be refined and improved to make it stealthier than before."
https://thehackernews.com/2024/02/new-variant-of-moqhao-android-malware.html,  MoqHao Android Malware Evolves with Auto-Execution Capability ," Feb 09, 2024", Mobile Security / Cyber Threat, Threat hunters have identified a new variant of Android malware called  MoqHao  that automatically executes on infected devices without requiring any user interaction.
https://thehackernews.com/2024/02/hands-on-review-myrror-security-code.html,  Hands-on Review: Myrror Security Code-Aware and Attack-Aware SCA ," Feb 09, 2024", Static Code Analysis, 
https://thehackernews.com/2024/02/new-coyote-trojan-targets-61-brazilian.html,  New Coyote Trojan Targets 61 Brazilian Banks with Nim-Powered Attack ," Feb 09, 2024", Endpoint Security / Cryptocurrency," Sixty-one banking institutions, all of them originating from Brazil, are the target of a new banking trojan called  Coyote ."
https://thehackernews.com/2024/02/fortinet-warns-of-critical-fortios-ssl.html,  Fortinet Warns of Critical FortiOS SSL VPN Flaw Likely Under Active Exploitation ," Feb 09, 2024", Zero Day Vulnerability / Network Security, Fortinet has disclosed a new critical security flaw in FortiOS SSL VPN that it said is likely being exploited in the wild.
https://thehackernews.com/2024/02/wazuh-in-cloud-era-navigating.html,  Wazuh in the Cloud Era: Navigating the Challenges of Cybersecurity ," Feb 09, 2024", Cloud Security / Open Source XDR / SIEM," Cloud computing has innovated how organizations operate and manage IT operations, such as data storage, application deployment, networking, and overall resource management. The cloud offers scalability, adaptability, and accessibility, enabling businesses to achieve sustainable growth. However, adopting cloud technologies into your infrastructure presents various cybersecurity risks and challenges that demand diligent consideration. In this blog post, we will explore some challenges of cybersecurity in the cloud era. We will also delve into how Wazuh, a cybersecurity solution supporting cloud platforms like Amazon Web Services (AWS), Microsoft Azure, Github, and Google Cloud Platform (GCP), can help address these challenges effectively."
https://thehackernews.com/2024/02/warning-new-ivanti-auth-bypass-flaw.html,  Warning: New Ivanti Auth Bypass Flaw Affects Connect Secure and ZTA Gateways ," Feb 09, 2024", Vulnerability / Zero Day," Ivanti has alerted customers of yet another high-severity security flaw in its Connect Secure, Policy Secure, and ZTA gateway devices that could allow attackers to bypass authentication."
https://thehackernews.com/2024/02/stealthy-zardoor-backdoor-targets-saudi.html,  Stealthy Zardoor Backdoor Targets Saudi Islamic Charity Organization ," Feb 09, 2024", Cyber Espionage / Threat Intelligence, An unnamed Islamic non-profit organization in Saudi Arabia has been targeted as part of a stealthy cyber espionage campaign designed to drop a previously undocumented backdoor called  Zardoor .
https://thehackernews.com/2024/02/chinese-hackers-operate-undetected-in.html,  Chinese Hackers Operate Undetected in U.S. Critical Infrastructure for Half a Decade ," Feb 08, 2024", Critical Infrastructure / Network security, The U.S. government on Wednesday said the Chinese state-sponsored hacking group known as  Volt Typhoon  had been embedded into some critical infrastructure networks in the country for at least five years.
https://thehackernews.uk/state-of-ai-cloud-2024,,,,
https://thehackernews.com/2024/02/hands-on-review-myrror-security-code.html,  Hands-on Review: Myrror Security Code-Aware and Attack-Aware SCA ," Feb 09, 2024", Static Code Analysis, 
https://thehackernews.com/2024/02/unified-identity-look-for-meaning.html,  Unified Identity – look for the meaning behind the hype!  ," Feb 08, 2024", Unified Identity / Cyber Security," If you've listened to software vendors in the identity space lately, you will have noticed that ""unified"" has quickly become the buzzword that everyone is adopting to describe their portfolio. And this is great! Unified identity has some amazing benefits! "
https://thehackernews.com/2024/02/hijackloader-evolves-researchers-decode.html,  HijackLoader Evolves: Researchers Decode the Latest Evasion Methods ," Feb 08, 2024", Endpoint Security / Cyber Threat," The threat actors behind a loader malware called  HijackLoader  have added new techniques for defense evasion, as the malware continues to be increasingly used by other threat actors to deliver additional payloads and tooling."
https://thehackernews.com/2024/02/google-starts-blocking-sideloading-of.html,  Google Starts Blocking Sideloading of Potentially Dangerous Android Apps in Singapore ," Feb 08, 2024", Data Protection / Mobile Securit, Google has unveiled a new pilot program in Singapore that aims to prevent users from sideloading certain apps that abuse Android app permissions to read one-time passwords and gather sensitive data.
https://thehackernews.com/2024/02/kimsukys-new-golang-stealer-troll-and.html,  Kimsuky's New Golang Stealer 'Troll' and 'GoBear' Backdoor Target South Korea ," Feb 08, 2024", Cyber Espionage / Malware, The North Korea-linked nation-state actor known as Kimsuky is suspected of using a previously undocumented Golang-based information stealer called  Troll Stealer .
https://thehackernews.com/2024/02/critical-patches-released-for-new-flaws.html,"  Critical Patches Released for New Flaws in Cisco, Fortinet, VMware Products "," Feb 08, 2024", Cyber Threat / Network Security," Cisco, Fortinet, and VMware have released security fixes for multiple security vulnerabilities, including critical weaknesses that could be exploited to perform arbitrary actions on affected devices."
https://thehackernews.com/2024/02/after-fbi-takedown-kv-botnet-operators.html,"  After FBI Takedown, KV-Botnet Operators Shift Tactics in Attempt to Bounce Back "," Feb 07, 2024", Malware / Network Security," The threat actors behind the  KV-botnet  made ""behavioral changes"" to the malicious network as U.S. law enforcement began issuing commands to neutralize the activity."
https://thehackernews.com/2024/02/critical-bootloader-vulnerability-in.html,  Critical Boot Loader Vulnerability in Shim Impacts Nearly All Linux Distros ," Feb 07, 2024", Device Security / Vulnerability," The maintainers of shim have released  version 15.8  to address six security flaws, including a critical bug that could pave the way for remote code execution under specific circumstances."
https://thehackernews.com/2024/02/new-webinar-5-steps-to-vciso-success.html,  New Webinar: 5 Steps to vCISO Success for MSPs and MSSPs ," Feb 07, 2024", Risk Management / Cybersecurity," 2024 will be the year of the vCISO. An incredible 45% of MSPs and MSSPs are  planning to start offering  vCISO services in 2024. As an MSP/MSSP providing vCISO services, you own the organization's cybersecurity infrastructure and strategy. But you also need to position yourself as a reliable decision-maker, navigating professional responsibilities, business needs and leadership requirements. A   new webinar by Cynomi  , vCISO platform leader, hosting CISO and vCISO veteran Jesse Miller from PowerPSA Consulting, provides MSPs and MSSPs with an effective 100-day plan to build themselves up for success."
https://thehackernews.com/2024/02/global-coalition-and-tech-giants-unite.html,  Global Coalition and Tech Giants Unite Against Commercial Spyware Abuse ," Feb 07, 2024", Spyware / Zero-Day Vulnerability," A coalition of dozens of countries, including France, the U.K., and the U.S., along with tech companies such as Google, MDSec, Meta, and Microsoft, have signed a joint agreement to curb the abuse of commercial spyware to commit human rights abuses."
https://thehackernews.uk/state-of-ai-cloud-2024,,,,
https://thehackernews.com/2024/02/hands-on-review-myrror-security-code.html,  Hands-on Review: Myrror Security Code-Aware and Attack-Aware SCA ," Feb 09, 2024", Static Code Analysis, 
https://thehackernews.com/2024/02/chinese-hackers-exploited-fortigate.html,  Chinese Hackers Exploited FortiGate Flaw to Breach Dutch Military Network ," Feb 07, 2024", Cyber Espionage / Network Security, Chinese state-backed hackers broke into a computer network that's used by the Dutch armed forces by targeting Fortinet FortiGate devices.
https://thehackernews.com/2024/02/critical-jetbrains-teamcity-on-premises.html,  Critical JetBrains TeamCity On-Premises Flaw Exposes Servers to Takeover - Patch Now ," Feb 07, 2024", Cybersecurity / Software Security, JetBrains is alerting customers of a critical security flaw in its TeamCity On-Premises continuous integration and continuous deployment (CI/CD) software that could be exploited by threat actors to take over susceptible instances.
https://thehackernews.com/2024/02/beware-fake-facebook-job-ads-spreading.html,  Beware: Fake Facebook Job Ads Spreading 'Ov3r_Stealer' to Steal Crypto and Credentials ," Feb 06, 2024", Social Engineering / Malvertising, Threat actors are leveraging bogus Facebook job advertisements as a lure to trick prospective targets into installing a new Windows-based stealer malware codenamed  Ov3r_Stealer .
https://thehackernews.com/2024/02/high-severity-flaws-found-in-azure.html,"  Experts Detail New Flaws in Azure HDInsight Spark, Kafka, and Hadoop Services "," Feb 06, 2024", Vulnerability / Cloud Security," Three new security vulnerabilities have been discovered in Azure HDInsight's Apache  Hadoop ,  Kafka , and  Spark  services that could be exploited to achieve privilege escalation and a regular expression denial-of-service ( ReDoS ) condition."
https://thehackernews.com/2024/02/how-10b-enterprise-customer-drastically.html,  How a $10B Enterprise Customer Drastically Increased their SaaS Security Posture with 201% ROI by Using SSPM ," Feb 06, 2024", SaaS Security / Cyber Security," SaaS applications are the darlings of the software world. They enable work from anywhere, facilitate collaboration, and offer a cost-effective alternative to owning the software outright. At the same time, the very features that make SaaS apps so embraced – access from anywhere and collaboration – can also be exploited by threat actors."
https://thehackernews.com/2024/02/hackers-exploit-job-boards-in-apac.html,"  Hackers Exploit Job Boards, Stealing Millions of Resumes and Personal Data "," Feb 06, 2024", Dark Web / Cybercrime, Employment agencies and retail companies chiefly located in the Asia-Pacific (APAC) region have been targeted by a previously undocumented threat actor known as  ResumeLooters  since early 2023 with the goal of stealing sensitive data.
https://thehackernews.com/2024/02/recently-disclosed-ssrf-flaw-in-ivanti.html,  Recent SSRF Flaw in Ivanti VPN Products Undergoes Mass Exploitation ," Feb 06, 2024", Cybersecurity / Vulnerability, A recently disclosed server-side request forgery ( SSRF ) vulnerability impacting Ivanti Connect Secure and Policy Secure products has come under mass exploitation.
https://thehackernews.com/2024/02/us-imposes-visa-restrictions-on-those.html,  U.S. Imposes Visa Restrictions on those Involved in Illegal Spyware Surveillance ," Feb 06, 2024", Surveillance / Privacy, The U.S. State Department said it's implementing a new policy that imposes visa restrictions on individuals who are linked to the illegal use of commercial spyware to surveil civil society members.
https://thehackernews.com/2024/02/belarusian-national-linked-to-btc-e.html,  Belarusian National Linked to BTC-e Faces 25 Years for $4 Billion Crypto Money Laundering ," Feb 05, 2024", Cryptocurrency / Financial Fraud, A 42-year-old Belarusian and Cypriot national with alleged connections to the now-defunct cryptocurrency exchange BTC-e is facing charges related to money laundering and operating an unlicensed money services business.
https://thehackernews.uk/state-of-ai-cloud-2024,,,,
https://thehackernews.com/2024/02/hands-on-review-myrror-security-code.html,  Hands-on Review: Myrror Security Code-Aware and Attack-Aware SCA ," Feb 09, 2024", Static Code Analysis, 
https://thehackernews.com/2024/02/combined-security-practices-changing.html,  Combined Security Practices Changing the Game for Risk Management ," Feb 05, 2024", Data Protection / Threat Intelligence," A significant challenge within cyber security at present is that there are a lot of risk management platforms available in the market, but only some deal with cyber risks in a very good way. The majority will shout alerts at the customer as and when they become apparent and cause great stress in the process. The issue being that by using a reactive, rather than proactive approach, many risks just sit there, dormant, until an emergency happens. "
https://thehackernews.com/2024/02/patchwork-using-romance-scam-lures-to.html,  Patchwork Using Romance Scam Lures to Infect Android Devices with VajraSpy Malware ," Feb 05, 2024", Cyber Espionage / Cyber Extortion," The threat actor known as Patchwork likely used romance scam lures to trap victims in Pakistan and India, and infect their Android devices with a remote access trojan called  VajraSpy ."
https://thehackernews.com/2024/02/hands-on-review-sase-based-xdr-from.html,  Hands-On Review: SASE-based XDR from Cato Networks ," Feb 05, 2024", Extended Detection and Response," Companies are engaged in a seemingly endless cat-and-mouse game when it comes to cybersecurity and cyber threats. As organizations put up one defensive block after another, malicious actors kick their game up a notch to get around those blocks. Part of the challenge is to coordinate the defensive abilities of disparate security tools, even as organizations have limited resources and a dearth of skilled cybersecurity experts."
https://thehackernews.com/2024/02/pegasus-spyware-targeted-iphones-of.html,  Pegasus Spyware Targeted iPhones of Journalists and Activists in Jordan ," Feb 05, 2024", Spyware / Surveillance," The iPhones belonging to nearly three dozen journalists, activists, human rights lawyers, and civil society members in Jordan have been targeted with NSO Group's Pegasus spyware, according to joint findings from Access Now and the Citizen Lab."
https://thehackernews.com/2024/02/new-mispadu-banking-trojan-exploiting.html,  New Mispadu Banking Trojan Exploiting Windows SmartScreen Flaw ," Feb 05, 2024", Malware / Financial Security, The threat actors behind the Mispadu banking Trojan have become the latest to exploit a now-patched Windows SmartScreen security bypass flaw to compromise users in Mexico.
https://thehackernews.com/2024/02/us-sanctions-6-iranian-officials-for.html,  U.S. Sanctions 6 Iranian Officials for Critical Infrastructure Cyber Attacks ," Feb 03, 2024", Intelligence Agency / Cyber Security, The U.S. Treasury Department's Office of Foreign Assets Control (OFAC) announced sanctions against six officials associated with the Iranian intelligence agency for attacking critical infrastructure entities in the U.S. and other countries.
https://thehackernews.com/2024/02/mastodon-vulnerability-allows-hackers.html,  Mastodon Vulnerability Allows Hackers to Hijack Any Decentralized Account ," Feb 03, 2024", Vulnerability / Social Media, The decentralized social network Mastodon has disclosed a critical security flaw that enables malicious actors to impersonate and take over any account.
https://thehackernews.com/2024/02/anydesk-hacked-popular-remote-desktop.html,  AnyDesk Hacked: Popular Remote Desktop Software Mandates Password Reset ," Feb 03, 2024", Cyber Attack / Software Security, Remote desktop software maker AnyDesk disclosed on Friday that it suffered a cyber attack that led to a compromise of its production systems.
https://thehackernews.com/2024/02/russian-apt28-hackers-targeting-high.html,  Russian APT28 Hackers Targeting High-Value Orgs with NTLM Relay Attacks ," Feb 02, 2024", Cyber Espionage / Password Security," Russian state-sponsored actors have staged NT LAN Manager (NTLM) v2 hash relay attacks through various methods from April 2022 to November 2023, targeting high-value targets worldwide."
https://thehackernews.uk/state-of-ai-cloud-2024,,,,
https://thehackernews.com/2024/02/hands-on-review-myrror-security-code.html,  Hands-on Review: Myrror Security Code-Aware and Attack-Aware SCA ," Feb 09, 2024", Static Code Analysis, 
